number	id	name	slug	category	sports_count	scenarios_count	sports	scenarios	moq
0001	2AHAYR15	Custom All-Over Print Womens Rectangle Scarf	all-over-print-womens-rectangle-scarf	Hoodie	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0002	2KTXDM69	Custom All-Over Print Childrens T-Shirts	childrens-t-shirts-printed-usa-gildan-64000b	T-Shirt	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0003	1WPXZY10	Custom All-Over Print Womens High-Stretch Tights	all-over-print-womens-high-stretch-tights	Pants	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0004	2MHPDM39	Custom All-Over Print Unisex Durable Pullover Sweatshirt 290GSM	unisex-durable-pullover-sweatshirt-290gsm	Sweatshirt	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0005	2MHPJR90	Custom All-Over Print Mens Fleece Hoodie 360GSM	mens-fleece-lined-vintage-wash-zip-hoodie	Hoodie	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0007	2MBXMA09	Custom All-Over Print Mens Loose Sleeveless Hoodie 320GSM	mens-loose-sleeveless-hoodie-320gsm	Tank Top & Camis	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0008	3WBXGZ50	Custom All-Over Print Womens Tank Vest Dress	all-over-print-womens-tank-vest-dress	Sportswear	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0009	2MHPSA03	Custom All-Over Print Mens Distressed Sweatshirt 360GSM	mens-distressed-vintage-wash-sweatshirt-360gsm	Sweatshirt	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0010	3KCSZJ10	Custom All-Over Print Childrens Shirt With Pocket 140GSM Slub Cotton	plamix-all-over-print-childrens-shirt-with-pocket	Shirt	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0011	2MHPHR99	Custom All-Over Print Mens Vintage Crewneck Knit Sweater	mens-vintage-crewneck-knit-sweater-285gsm	Sweatshirt	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
