# Categories (29)
# Total: 13

index	key	dimension	label	slug
1	T-Shirt	category	T-Shirt	T-Shirt
2	Hoodie	category	Hoodie	Hoodie
3	Polo Shirt	category	Polo Shirt	Polo Shirt
4	Jacket	category	Jacket	Jacket
5	Shirt	category	Shirt	Shirt
6	Tank Top & Camis	category	Tank Top & Camis	Tank Top & Camis
7	Vest	category	Vest	Vest
8	Pants	category	Pants	Pants
9	Sweatshirt	category	Sweatshirt	Sweatshirt
10	Skirt	category	Skirt	Skirt
11	Sportswear	category	Sportswear	Sportswear
12	Home	category	Home	Home
13	Cap	category	Cap	Cap
