# Sports (42)
# Total: 41

index	key	dimension	label	slug
1	AFL	sport	AFL	AFL
2	Athletics	sport	Athletics	Athletics
3	Badminton	sport	Badminton	Badminton
4	Baseball	sport	Baseball	Baseball
5	Basketball	sport	Basketball	Basketball
6	Beach	sport	Beach	Beach
7	Bowling	sport	Bowling	Bowling
8	Boxing	sport	Boxing	Boxing
9	Cheer	sport	Cheer	Cheer
10	Cricket	sport	Cricket	Cricket
11	CrossFit	sport	CrossFit	CrossFit
12	Cycling	sport	Cycling	Cycling
13	Dance	sport	Dance	Dance
14	Dive	sport	Dive	Dive
15	Esports	sport	Esports	Esports
16	Fishing	sport	Fishing	Fishing
17	Football	sport	Football	Football
18	Golf	sport	Golf	Golf
19	Gym	sport	Gym	Gym
20	Hockey	sport	Hockey	Hockey
21	Lacrosse	sport	Lacrosse	Lacrosse
22	MMA	sport	MMA	MMA
23	Martial Arts	sport	Martial Arts	Martial Arts
24	Netball	sport	Netball	Netball
25	Pilates	sport	Pilates	Pilates
26	Rugby	sport	Rugby	Rugby
27	Running	sport	Running	Running
28	Skate	sport	Skate	Skate
29	Skating	sport	Skating	Skating
30	Ski	sport	Ski	Ski
31	Snowboard	sport	Snowboard	Snowboard
32	Soccer	sport	Soccer	Soccer
33	Softball	sport	Softball	Softball
34	Surf	sport	Surf	Surf
35	Swimwear	sport	Swimwear	Swimwear
36	Table Tennis	sport	Table Tennis	Table Tennis
37	Tennis	sport	Tennis	Tennis
38	Triathlon	sport	Triathlon	Triathlon
39	Volleyball	sport	Volleyball	Volleyball
40	Wrestling	sport	Wrestling	Wrestling
41	Yoga	sport	Yoga	Yoga
