scenario	product_count
Corporate & Branding	33
Team & Club	60
Event & Festival	71
School & Education	63
Fundraiser & Charity	22
Retail & Fashion	25
Uniform & Workwear	55
Music & Merch	27
Sports League	61
Wedding & Party	22
Gift & Souvenir	22
Promotional Swag	65
Political Campaign	26
Construction & Engineering	10
Express & Logistics	4
Hospitality & F&B	5
Medical & Healthcare	4
Security & Property	4
Retail & Supermarket	4
Education & School	3
Corporate & Promo	3
Transit & Transport	4
Studio & Gym	4
Festival & Holiday	2
Military	4
