number	name	old_category	new_category
0008	Custom All-Over Print Womens Tank Vest Dress	Sportswear	Tank Top & Camis
0014	Custom All-Over Print Womens Tank Bodysuit	Sportswear	T-Shirt
0018	Custom All-Over Print Kids Baseball Jersey	Sportswear	T-Shirt
0020	Custom All-Over Print Mens Long-Sleeve T-Shirt With Dropped Shoulders	Sportswear	T-Shirt
0024	Custom All-Over Print Soccer Jersey Kit (Shirt + Shorts)	Sportswear	Pants
0025	Custom All-Over Print Basketball Jersey Kit (Reversible option)	Sportswear	T-Shirt
0026	Custom All-Over Print Badminton Outfit	Sportswear	T-Shirt
0027	Custom All-Over Print Hockey Jersey	Sportswear	T-Shirt
0028	Custom All-Over Print Running Wear (Shirt + Shorts)	Sportswear	Pants
0029	Custom All-Over Print Cycling Wear Kit (Jersey + Bib Shorts)	Sportswear	Pants
0030	Custom All-Over Print Yoga Wear Set (Top + Leggings)	Sportswear	Pants
0031	Custom All-Over Print Swimwear (One-Piece / Bikini / Trunks)	Sportswear	Pants
0033	Custom All-Over Print Baseball Jersey Kit (Shirt + Pants)	Sportswear	T-Shirt
0034	Custom All-Over Print American Football Jersey	Sportswear	T-Shirt
0035	Custom All-Over Print Rugby Jersey	Sportswear	T-Shirt
0036	Custom All-Over Print Volleyball Jersey Kit	Sportswear	T-Shirt
0037	Custom All-Over Print Tennis Outfit (Shirt + Skirt/Shorts)	Sportswear	Pants
0038	Custom All-Over Print Table Tennis Outfit	Sportswear	T-Shirt
0039	Custom All-Over Print Cricket Jersey	Sportswear	T-Shirt
0040	Custom All-Over Print Lacrosse Jersey	Sportswear	T-Shirt
0041	Custom All-Over Print Softball Jersey	Sportswear	T-Shirt
0042	Custom All-Over Print Surf Lycra Top (Rash Guard)	Sportswear	Tank Top & Camis
0046	Custom All-Over Print Boxing Shorts	Sportswear	Pants
0047	Custom All-Over Print Wrestling Singlet	Sportswear	T-Shirt
0048	Custom All-Over Print MMA Fight Shorts	Sportswear	Pants
0049	Custom All-Over Print Martial Arts Gi	Sportswear	T-Shirt
0050	Custom All-Over Print Pilates Set (Top + Leggings)	Sportswear	Pants
0051	Custom All-Over Print Dance Leotard	Sportswear	Skirt
0052	Custom All-Over Print Cheer Uniform (Top + Skirt)	Sportswear	Skirt
0055	Custom All-Over Print Esports Jersey	Sportswear	T-Shirt
0056	Custom All-Over Print Triathlon Suit (One-Piece)	Sportswear	T-Shirt
0057	Custom All-Over Print Australian Rules (AFL) Jersey	Sportswear	T-Shirt
0058	Custom All-Over Print Netball Dress (Bib Style)	Sportswear	Skirt
0059	Custom All-Over Print Athletics Singlet (Track & Field)	Sportswear	T-Shirt
0060	Custom All-Over Print Fishing Shirt (UPF 50+)	Sportswear	T-Shirt
0062	Custom All-Over Print Dive Lycra Suit	Sportswear	Tank Top & Camis
0063	Custom All-Over Print Skating Dress (Figure / Roller)	Sportswear	Skirt
0064	Custom All-Over Print Beach Sports Jersey (Volleyball / Soccer / Rugby)	Sportswear	T-Shirt
