number	name	old_category	new_category	sports_check	suggested_sports
0008	Custom All-Over Print Womens Tank Vest Dress	Sportswear	Tank Top & Camis	ALL 41 (BROAD)	Dance,Gym,Athletics
0014	Custom All-Over Print Womens Tank Bodysuit	Sportswear	T-Shirt	ALL 41 (BROAD)	Dance,Gym,Athletics
0018	Custom All-Over Print Kids Baseball Jersey	Sportswear	T-Shirt	ALL 41 (BROAD)	Baseball,Softball
0020	Custom All-Over Print Mens Long-Sleeve T-Shirt With Dropped Shoulders	Sportswear	T-Shirt	ALL 41 (BROAD)	Running,Gym,Soccer,Basketball
0024	Custom All-Over Print Soccer Jersey Kit (Shirt + Shorts)	Sportswear	Pants	OK (1)	
0025	Custom All-Over Print Basketball Jersey Kit (Reversible option)	Sportswear	T-Shirt	OK (1)	
0026	Custom All-Over Print Badminton Outfit	Sportswear	T-Shirt	OK (1)	
0027	Custom All-Over Print Hockey Jersey	Sportswear	T-Shirt	OK (1)	
0028	Custom All-Over Print Running Wear (Shirt + Shorts)	Sportswear	Pants	OK (2)	
0029	Custom All-Over Print Cycling Wear Kit (Jersey + Bib Shorts)	Sportswear	Pants	OK (1)	
0030	Custom All-Over Print Yoga Wear Set (Top + Leggings)	Sportswear	Pants	OK (2)	
0031	Custom All-Over Print Swimwear (One-Piece / Bikini / Trunks)	Sportswear	Pants	OK (4)	
0033	Custom All-Over Print Baseball Jersey Kit (Shirt + Pants)	Sportswear	T-Shirt	OK (2)	
0034	Custom All-Over Print American Football Jersey	Sportswear	T-Shirt	OK (1)	
0035	Custom All-Over Print Rugby Jersey	Sportswear	T-Shirt	OK (1)	
0036	Custom All-Over Print Volleyball Jersey Kit	Sportswear	T-Shirt	OK (1)	
0037	Custom All-Over Print Tennis Outfit (Shirt + Skirt/Shorts)	Sportswear	Pants	OK (1)	
0038	Custom All-Over Print Table Tennis Outfit	Sportswear	T-Shirt	OK (1)	
0039	Custom All-Over Print Cricket Jersey	Sportswear	T-Shirt	OK (1)	
0040	Custom All-Over Print Lacrosse Jersey	Sportswear	T-Shirt	OK (1)	
0041	Custom All-Over Print Softball Jersey	Sportswear	T-Shirt	OK (1)	
0042	Custom All-Over Print Surf Lycra Top (Rash Guard)	Sportswear	Tank Top & Camis	OK (3)	
0046	Custom All-Over Print Boxing Shorts	Sportswear	Pants	OK (3)	
0047	Custom All-Over Print Wrestling Singlet	Sportswear	T-Shirt	OK (2)	
0048	Custom All-Over Print MMA Fight Shorts	Sportswear	Pants	OK (3)	
0049	Custom All-Over Print Martial Arts Gi	Sportswear	T-Shirt	OK (1)	
0050	Custom All-Over Print Pilates Set (Top + Leggings)	Sportswear	Pants	OK (2)	
0051	Custom All-Over Print Dance Leotard	Sportswear	Skirt	OK (3)	
0052	Custom All-Over Print Cheer Uniform (Top + Skirt)	Sportswear	Skirt	OK (2)	
0055	Custom All-Over Print Esports Jersey	Sportswear	T-Shirt	OK (1)	
0056	Custom All-Over Print Triathlon Suit (One-Piece)	Sportswear	T-Shirt	OK (3)	
0057	Custom All-Over Print Australian Rules (AFL) Jersey	Sportswear	T-Shirt	OK (1)	
0058	Custom All-Over Print Netball Dress (Bib Style)	Sportswear	Skirt	OK (1)	
0059	Custom All-Over Print Athletics Singlet (Track & Field)	Sportswear	T-Shirt	OK (2)	
0060	Custom All-Over Print Fishing Shirt (UPF 50+)	Sportswear	T-Shirt	OK (1)	
0062	Custom All-Over Print Dive Lycra Suit	Sportswear	Tank Top & Camis	OK (3)	
0063	Custom All-Over Print Skating Dress (Figure / Roller)	Sportswear	Skirt	OK (1)	
0064	Custom All-Over Print Beach Sports Jersey (Volleyball / Soccer / Rugby)	Sportswear	T-Shirt	OK (4)	
