number	blank_name	blank_type	fabric	color_options	size_range	blank_moq	compatible_crafts	craft_min_order	price_range_usd	image_url	decoration_area	lead_time_days	notes
B001	180gsm Crew Neck Short-Sleeve T-Shirt Blank	T-Shirt	180gsm 100% Combed Cotton (single jersey)	White, Black, Navy, Heather Gray, Red, Royal Blue, Forest Green	XS-3XL	50	Embroidery|Heat Transfer|Screen Print|DTG	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtg":50}	2.5-4.5	/blank-apparel/180gsm-tshirt-white-front.webp	Front chest 10x10cm; Full back 30x35cm	35	现货白胚，可加 logo 织唛；适合企业工服、活动 T 恤
B002	200gsm Crew Neck Short-Sleeve T-Shirt Blank	T-Shirt	200gsm 100% Combed Cotton (single jersey)	White, Black, Navy, Heather Gray, Charcoal, Olive	XS-3XL	50	Embroidery|Heat Transfer|Screen Print|DTG	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtg":50}	3.0-5.0	/blank-apparel/200gsm-tshirt-white-front.webp	Front chest 10x10cm; Full back 30x35cm	35	稍厚实，适合工服；可绣可印
B003	220gsm Heavyweight Crew Neck T-Shirt Blank	T-Shirt	220gsm 100% Combed Cotton (single jersey)	White, Black, Navy, Athletic Heather, Sand	XS-3XL	50	Embroidery|Heat Transfer|Screen Print|DTG	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtg":50}	3.5-5.5	/blank-apparel/220gsm-tshirt-white-front.webp	Front chest 10x10cm; Full back 30x35cm	35	重磅 T 恤，街头风；适合品牌方
B004	180gsm V-Neck Short-Sleeve T-Shirt Blank	T-Shirt	180gsm 100% Combed Cotton (single jersey)	White, Black, Navy, Heather Gray	XS-2XL	50	Embroidery|Heat Transfer|Screen Print|DTG	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtg":50}	2.5-4.5	/blank-apparel/vneck-tshirt-white-front.webp	Front chest 10x10cm	35	女款多；适合促销、活动
B005	180gsm Long-Sleeve T-Shirt Blank	T-Shirt	180gsm 100% Combed Cotton (single jersey)	White, Black, Navy, Heather Gray	XS-3XL	50	Embroidery|Heat Transfer|Screen Print|DTG	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtg":50}	3.0-5.0	/blank-apparel/long-sleeve-tshirt-white-front.webp	Front chest 10x10cm; Full back 30x35cm; Sleeve 8x25cm	35	长袖 T 恤，秋冬活动
B006	200gsm Polo Shirt Blank (Piqué)	Polo	200gsm 100% Cotton Piqué	White, Black, Navy, Forest Green, Red, Royal Blue	XS-3XL	50	Embroidery|Heat Transfer|Screen Print	{"embroidery":50,"heat_transfer":50,"screen_print":100}	5.0-7.5	/blank-apparel/polo-white-front.webp	Left chest 8x8cm (embroidery); Front 30x30cm (print)	40	企业工服主力；绣 logo 经典款
B007	220gsm Heavyweight Polo Blank (Piqué)	Polo	220gsm 100% Cotton Piqué	White, Black, Navy, Charcoal	XS-3XL	50	Embroidery|Heat Transfer|Screen Print	{"embroidery":50,"heat_transfer":50,"screen_print":100}	6.0-8.5	/blank-apparel/polo-heavyweight-white-front.webp	Left chest 8x8cm (embroidery); Front 30x30cm (print)	40	重磅 Polo，更耐穿
B008	200gsm Polyester Polo Blank (Performance)	Polo	200gsm 100% Polyester Piqué (moisture-wicking)	White, Black, Navy, Royal Blue, Heather Gray	XS-3XL	50	Embroidery|Sublimation|Heat Transfer	{"embroidery":50,"sublimation":50,"heat_transfer":50}	5.5-8.0	/blank-apparel/polo-poly-white-front.webp	Left chest 8x8cm; Full front 30x30cm (sublimation)	40	运动风 Polo；可全身印
B009	220gsm Striped Polo Blank (Bowling Style)	Polo	220gsm Polyester-Cotton Blend Striped	White/Navy, Black/Red, Black/White	S-3XL	50	Embroidery|Heat Transfer	{"embroidery":50,"heat_transfer":50}	7.0-10.0	/blank-apparel/polo-stripe-bowling-front.webp	Left chest 8x8cm (embroidery)	40	Bowling 风格 Polo；适合俱乐部、品牌
B010	320gsm Pullover Hoodie Blank (French Terry)	Hoodie	320gsm 80% Cotton 20% Polyester French Terry	Black, Navy, Heather Gray, White, Olive	XS-3XL	50	Embroidery|Heat Transfer|Screen Print|DTF	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtf":50}	8.0-12.0	/blank-apparel/hoodie-pullover-black-front.webp	Left chest 8x8cm (embroidery); Full back 30x40cm (print)	45	校服、活动主力；可绣校徽
B011	380gsm Heavyweight Pullover Hoodie Blank	Hoodie	380gsm 80% Cotton 20% Polyester Heavy Fleece	Black, Navy, Heather Gray, Charcoal	XS-3XL	50	Embroidery|Heat Transfer|Screen Print|DTF	{"embroidery":50,"heat_transfer":50,"screen_print":100,"dtf":50}	9.0-13.5	/blank-apparel/hoodie-heavyweight-black-front.webp	Left chest 8x8cm; Full back 30x40cm	45	重磅卫衣，街头潮牌风
