Number	Name	Category	New Scenarios	Notes
0001	Custom All-Over Print Womens Rectangle Scarf	Home		
0002	Custom All-Over Print Childrens T-Shirts	T-Shirt		
0003	Custom All-Over Print Womens High-Stretch Tights	Pants		
0004	Custom All-Over Print Unisex Durable Pullover Sweatshirt 290GSM	Sweatshirt		
0005	Custom All-Over Print Mens Fleece Hoodie 360GSM	Hoodie		
0007	Custom All-Over Print Mens Loose Sleeveless Hoodie 320GSM	Tank Top & Camis		
0008	Custom All-Over Print Womens Tank Vest Dress	Sportswear		
0009	Custom All-Over Print Mens Distressed Sweatshirt 360GSM	Sweatshirt		
0010	Custom All-Over Print Childrens Shirt With Pocket 140GSM Slub Cotton	Shirt		
0011	Custom All-Over Print Mens Vintage Crewneck Knit Sweater	Sweatshirt		
0012	Custom All-Over Print Unisex Thickened Home Jumpsuit	Home		
0013	Custom All-Over Print Kids Short-Sleeve Dress	Skirt		
0014	Custom All-Over Print Womens Tank Bodysuit	Sportswear		
0015	Custom All-Over Print Childrens Lapel Polo Shirt	Polo Shirt		
0016	Custom All-Over Print Sports Square Towel	Home		
0017	Custom All-Over Print Baby Short-Sleeve Onesie Printed	Home		
0018	Custom All-Over Print Kids Baseball Jersey	Sportswear		
0019	Custom All-Over Print Mens Half-Zip Pullover	Hoodie		
0020	Custom All-Over Print Mens Long-Sleeve T-Shirt With Dropped Shoulders	Sportswear		
0021	Custom All-Over Print Apron	Home		
0022	Custom All-Over Print Bucket Hat	Cap		
0023	Custom All-Over Print Baseball Cap	Cap		
0024	Custom All-Over Print Soccer Jersey Kit (Shirt + Shorts)	Sportswear		
0025	Custom All-Over Print Basketball Jersey Kit (Reversible option)	Sportswear		
0026	Custom All-Over Print Badminton Outfit	Sportswear		
0027	Custom All-Over Print Hockey Jersey	Sportswear		
0028	Custom All-Over Print Running Wear (Shirt + Shorts)	Sportswear		
0029	Custom All-Over Print Cycling Wear Kit (Jersey + Bib Shorts)	Sportswear		
0030	Custom All-Over Print Yoga Wear Set (Top + Leggings)	Sportswear		
0031	Custom All-Over Print Swimwear (One-Piece / Bikini / Trunks)	Sportswear		
0032	Custom All-Over Print Golf Polo Shirt	Polo Shirt		
0033	Custom All-Over Print Baseball Jersey Kit (Shirt + Pants)	Sportswear		
0034	Custom All-Over Print American Football Jersey	Sportswear		
0035	Custom All-Over Print Rugby Jersey	Sportswear		
0036	Custom All-Over Print Volleyball Jersey Kit	Sportswear		
0037	Custom All-Over Print Tennis Outfit (Shirt + Skirt/Shorts)	Sportswear		
0038	Custom All-Over Print Table Tennis Outfit	Sportswear		
0039	Custom All-Over Print Cricket Jersey	Sportswear		
0040	Custom All-Over Print Lacrosse Jersey	Sportswear		
0041	Custom All-Over Print Softball Jersey	Sportswear		
0042	Custom All-Over Print Surf Lycra Top (Rash Guard)	Sportswear		
0045	Custom All-Over Print Skate T-Shirt	T-Shirt		
0046	Custom All-Over Print Boxing Shorts	Sportswear		
0047	Custom All-Over Print Wrestling Singlet	Sportswear		
0048	Custom All-Over Print MMA Fight Shorts	Sportswear		
0049	Custom All-Over Print Martial Arts Gi	Sportswear		
0050	Custom All-Over Print Pilates Set (Top + Leggings)	Sportswear		
0051	Custom All-Over Print Dance Leotard	Sportswear		
0052	Custom All-Over Print Cheer Uniform (Top + Skirt)	Sportswear		
0054	Custom All-Over Print Bowling Shirt	Polo Shirt		
0055	Custom All-Over Print Esports Jersey	Sportswear		
0056	Custom All-Over Print Triathlon Suit (One-Piece)	Sportswear		
0057	Custom All-Over Print Australian Rules (AFL) Jersey	Sportswear		
0058	Custom All-Over Print Netball Dress (Bib Style)	Sportswear		
0059	Custom All-Over Print Athletics Singlet (Track & Field)	Sportswear		
0060	Custom All-Over Print Fishing Shirt (UPF 50+)	Sportswear		
0061	Custom All-Over Print Gym Tank Top	Tank Top & Camis		
0062	Custom All-Over Print Dive Lycra Suit	Sportswear		
0063	Custom All-Over Print Skating Dress (Figure / Roller)	Sportswear		
0064	Custom All-Over Print Beach Sports Jersey (Volleyball / Soccer / Rugby)	Sportswear		
0065	Custom All-Over Print Express & Logistics Polo Shirt	Polo Shirt		
0066	Custom All-Over Print Express & Logistics T-Shirt	T-Shirt		
0067	Custom All-Over Print Express & Logistics Hoodie	Hoodie		
0068	Custom All-Over Print Construction Hoodie (Hi-Vis Option)	Hoodie		
0069	Custom All-Over Print Construction Jacket (Insulated)	Jacket		
0070	Custom All-Over Print Construction Pants (Cargo)	Pants		
0071	Custom All-Over Print Construction T-Shirt (Hi-Vis Option)	T-Shirt		
0072	Custom All-Over Print Hospitality & F&B Polo Shirt	Polo Shirt		
0073	Custom All-Over Print Hospitality & F&B T-Shirt	T-Shirt		
0074	Custom All-Over Print Hospitality & F&B Sweatshirt	Sweatshirt		
0075	Custom All-Over Print Medical & Healthcare Scrubs T-Shirt	T-Shirt		
0076	Custom All-Over Print Medical & Healthcare Polo Shirt	Polo Shirt		
0078	Custom All-Over Print Security & Property Polo Shirt	Polo Shirt		
0079	Custom All-Over Print Security & Property Hoodie	Hoodie		
0080	Custom All-Over Print Security & Property Jacket	Jacket		
0081	Custom All-Over Print Retail & Supermarket Polo Shirt	Polo Shirt		
0082	Custom All-Over Print Retail & Supermarket T-Shirt	T-Shirt		
0083	Custom All-Over Print Retail & Supermarket Hoodie	Hoodie		
0084	Custom All-Over Print School & Education T-Shirt	T-Shirt		
0085	Custom All-Over Print School & Education Polo Shirt	Polo Shirt		
0086	Custom All-Over Print School & Education Hoodie	Hoodie		
0087	Custom All-Over Print Corporate & Promo Polo Shirt	Polo Shirt		
0088	Custom All-Over Print Corporate & Promo T-Shirt	T-Shirt		
0089	Custom All-Over Print Corporate & Promo Hoodie	Hoodie		
0090	Custom All-Over Print Transit & Transport Polo Shirt	Polo Shirt		
0091	Custom All-Over Print Transit & Transport Jacket	Jacket		
0092	Custom All-Over Print Transit & Transport Hoodie	Hoodie		
0093	Custom All-Over Print Studio & Gym Tank Top	Tank Top & Camis		
0094	Custom All-Over Print Studio & Gym T-Shirt	T-Shirt		
0095	Custom All-Over Print Studio & Gym Leggings	Pants		
0096	Custom All-Over Print Festival & Holiday T-Shirt	T-Shirt		
0097	Custom All-Over Print Festival & Holiday Hoodie	Hoodie		
0098	Custom All-Over Print Military Wear Training T-Shirt	T-Shirt		
0099	Custom All-Over Print Military Wear Casual Polo	Polo Shirt		
0100	Custom All-Over Print Beach Sarong (180×110cm)	Home		
0101	Custom All-Over Print Construction Vest (Hi-Vis Option)	Uniform & Workwear		
0102	Custom All-Over Print Construction Polo shirt (Hi-Vis Option)	Polo Shirt		
0104	Custom All-Over Print Hospitality & F&B Uniform	Jacket		
0105	Custom All-Over Print Hospitality & F&B Hoodie	Hoodie		
0106	Custom All-Over Print Security & Property T-shirt	T-Shirt		
0107	Custom All-Over Print Retail & Supermarket Jacket	Jacket		
0109	Custom All-Over Print Festival & Holiday Shirt	Shirt		
0110	Custom All-Over Print Music Tour & Festival Merch Shirt	Shirt		
0111	Custom All-Over Print Music Tour & Festival Merch T-shirt	T-Shirt		
0112	Custom All-Over Print Music Tour & Festival Merch Hoodie	Hoodie		
0113	Custom All-Over Print Military Wear Cap	Cap		
0114	Custom All-Over Print Military Wear Hoodie	Hoodie		
0115	Custom All-Over Print Trade Show & Display T-shirt	T-Shirt		
0116	Custom All-Over Print Trade Show & Display Polo shirt	Polo Shirt		
0117	Custom All-Over Print Trade Show & Display Hoodie	Hoodie		
0118	Custom All-Over Print Trade Show & Display Cap	Cap		
0119	Custom All-Over Print Political Campaigns T-shirt	T-Shirt		
0120	Custom All-Over Print Political Campaigns Polo shirt	Polo Shirt		
0121	Custom All-Over Print Political Campaigns Hoodie	Hoodie		
0122	Custom All-Over Print Political Campaigns Cap	Cap		
0124	Custom All-Over Print Medical & Healthcare Nurse Skirt	Skirt		
0125	Custom All-Over Print Medical & Healthcare Jacket	Jacket		
0126	Custom All-Over Print Transit & Transport T-shirt	T-Shirt		
0127	Custom All-Over Print Studio & Gym Hoodie	Hoodie		
